"Title","Author","File_Format","APA_Citation","Link","Year","Description","Association","Link_Owner","Tags"
"Probable Maximum Precipitation","NOAA","website","US Department of Commerce, NOAA, National Weather Service. (n.d.). HDSC PMP documents. Retrieved January 11, 2023, from https:\/\/www.weather.gov\/owp\/hdsc_pmp","https:\/\/www.weather.gov\/owp\/hdsc_pmp",2022,"a method for estimating the maximum precipitation that can be expected to occur in a given area.","NOAA","nws.noaa.gov","Models and Tools_Data Sources_Climate,Models and Tools_Data Sources_Hydrography and Floodplains,Models and Tools_Data Sources_Water Quantity,Models and Tools_Hydrology_Download data,Models and Tools_Hydrology_Rainfall Runoff Analysis"
"R2Cross: Web-Based Decision Support Tool for Instream Flows","Colorado State University","website","R2Cross. (n.d.). Retrieved January 11, 2023, from https:\/\/r2cross.erams.com\/","https:\/\/r2cross.erams.com\/",2021,"Web-Based Decision Support Tool for Instream Flows","Colorado State University","r2cross.erams.com","Models and Tools_Hydrology_Download data,Models and Tools_Hydrology_Visualize time series,Models and Tools_Hydrology_Ungaged gage transfer regional regressions"
"Reference Reach Spreadsheet","NRCS","spreadsheet","Resources – stream mechanics. (n.d.). Retrieved January 11, 2023, from https:\/\/stream-mechanics.com\/resources\/","https:\/\/stream-mechanics.com\/resources\/",2022,"a spreadsheet-based tool for calculating reference reach characteristics for streams and rivers.","NRCS","stream-mechanics.com","Models and Tools_Geomorphology_Hydraulic geometry,Models and Tools_Actions and Goals_Natural Channel Design"
"Regional Regressions by State","USGS","website","USGS NSS Program. (n.d.). Retrieved January 11, 2023, from https:\/\/water.usgs.gov\/osw\/programs\/nss\/pubs.html","https:\/\/water.usgs.gov\/osw\/programs\/nss\/pubs.html",2022,"a dataset that provides information on the distribution of vegetation communities, species and types of land use","USGS","water.usgs.gov","Models and Tools_Data Sources_Water Quantity,Models and Tools_Hydrology_Compute statistics,Models and Tools_Hydrology_Ungaged gage transfer regional regressions,Models and Tools_Hydrology_Bankfull Regional Curves,Models and Tools_Hydrology_Flood Frequency,Models and Tools_Hydrology_Peak flows"
"RiverMorph","Stantec","software","RIVERMorph. (n.d.). RIVERMorph. Retrieved January 11, 2023, from http:\/\/www.rivermorph.com\/","http:\/\/www.rivermorph.com\/",2022,"a tool for river channel morphology analysis and prediction.","Stantec","http:\/\/www.rivermorph","Models and Tools_Actions and Goals_Natural Channel Design"
"RiverRAT River Restoration Analysis Tool","NOAA","spreadsheet","NOAA River RAT. Retrieved January 11, 2023, from https:\/\/www.webapps.nwfsc.noaa.gov\/","https:\/\/www.webapps.nwfsc.noaa.gov\/apex\/f?p=275:1",2022,"a tool that helps stream and river restoration practitioners assess the potential effectiveness of restoration designs.","NOAA","webapps.nwfsc.noaa.gov","Models and Tools_Actions and Goals_Restoration Planning Site Evaluation"
"SNOTEL (NRCS Snowpack Telemetry)","NRCS","software","SNOTEL NRCS Snowpack Telemetry. Retrieved January 11, 2023, from https:\/\/www.wcc.nrcs.usda.gov\/snow\/","https:\/\/www.wcc.nrcs.usda.gov\/snow\/",2022,"a system that provides real-time snowpack and related climate data for the western United States.","NRCS","nrcs.usda.gov","Models and Tools_Data Sources_Water Quantity"
"Stream Channel Flow Resistance Coefficient Computation Tool (2018-2)","USFS","spreadsheet","USFS NSAEC. Retrieved January 11, 2023, from https:\/\/www.fs.usda.gov\/biology\/nsaec\/","https:\/\/www.fs.usda.gov\/biology\/nsaec\/index.html",2018,"a tool for computing stream channel flow resistance coefficients.","USFS","fs.fed.us","Models and Tools_Hydraulics_Hydraulic roughness"
"Stream Corridor Restoration Working Group H&H Tools","USDA","website","Stream corridor restoration tools. (n.d.). US EPA. Retrieved January 11, 2023, from https:\/\/cfpub.epa.gov\/watertrain\/module.cfm?module_id=39&object_id=748","https:\/\/www.nrcs.usda.gov\/wps\/portal\/nrcs\/detailfull\/national\/water\/manage\/hydrology\/?cid=stelprdb1042480",2022,"a collection of tools for stream corridor restoration planning and design provided by the Stream Corridor Restoration Working Group.","USDA","nrcs.usda.gov","Models and Tools_Hydrology_Flood Frequency,Models and Tools_Hydrology_Rainfall Runoff Analysis,Models and Tools_Hydrology_Flood Routing,Models and Tools_Hydrology_Peak flows,Models and Tools_Hydraulics_Normal depth for 1D steady uniform flow,Models and Tools_Hydraulics_1D hydraulics,Models and Tools_Hydraulics_Hydraulic parameters,Models and Tools_Geomorphology_Hydraulic geometry,Models and Tools_Geomorphology_Planform geometry,Models and Tools_Actions and Goals_Instream Structures,Models and Tools_Actions and Goals_Stabilization"
"Streamstats","USGS","website","USGS StreamStats. Retrieved January 11, 2023, from https:\/\/streamstats.usgs.gov\/ss\/","https:\/\/streamstats.usgs.gov\/ss\/",2022,"a web-based application that allows users to access streamflow statistics and other related information","USGS","streamstats.usgs","Models and Tools_Data Sources_Water Quantity,Models and Tools_Hydrology_Download data,Models and Tools_Hydrology_Compute statistics,Models and Tools_Hydrology_Ungaged gage transfer regional regressions,Models and Tools_Hydrology_Flood Frequency,Models and Tools_Hydrology_Peak flows"
"SWAT Soil and Water Assessment Tool","EPA","software","Arnold, J. (1994). SWAT-soil and water assessment tool.","https:\/\/cfpub.epa.gov\/si\/si_public_record_report.cfm?Lab=&direntryid=2921",2022,"a tool for simulating the impacts of land use and management practices on water and related resources","EPA","cfpub.epa.gov","Models and Tools_Hydraulics_1D hydraulics,Models and Tools_Hydraulics_SW GW Hydraulics"
"The National Map","USGS","website","U.S. Geological Survey, 2019, USGS TNM Hydrography (NHD), accessed June 7, 2019 at URL https:\/\/apps.nationalmap.gov\/services\/.","https:\/\/www.usgs.gov\/core-science-systems\/national-geospatial-program\/national-map",2022,"a web-based mapping application that allows users to access geospatial data provided by multiple agencies.","USGS","usgs.gov","Models and Tools_Data Sources_Climate,Models and Tools_Data Sources_Soils and Geology,Models and Tools_Data Sources_Hydrography and Floodplains,Models and Tools_Data Sources_Water Quantity,Models and Tools_Data Sources_Water Quality,Models and Tools_Data Sources_Topography and Bathymetry,Models and Tools_Data Sources_Vegetation,Models and Tools_Data Sources_Land Use and Land Cover,Models and Tools_Data Sources_Aerial Photogrammetry"
"TIGER Road Database","Census","website","TigerWEB. esri. (n.d.). Retrieved January 11, 2023, from https:\/\/tigerweb.geo.census.gov\/tigerweb\/","https:\/\/tigerweb.geo.census.gov\/tigerweb\/",2022,"a database of roads and transportation features provided by the US Census Bureau.","Census","tigerweb.geo.census.gov","Models and Tools_Data Sources_Land Use and Land Cover"
"TUFLOW","TUFLOW","software","Tuflow. Flood, Urban Stormwater, Coastal and Water Quailty computer modelling software. (n.d.). Retrieved January 11, 2023, from https:\/\/www.tuflow.com\/","https:\/\/www.tuflow.com\/",2022,"a two-dimensional numerical model for simulating free-surface flow.","TUFLOW","tuflow.com","Models and Tools_Hydraulics_2D Hydraulics,Models and Tools_Hydraulics_Hydraulic parameters"
"USFS National Stream and Aquatic Ecology Center Tools","USFS","website","USFS NSAEC. Retrieved January 11, 2023, from https:\/\/www.fs.usda.gov\/biology\/nsaec\/","https:\/\/www.fs.fed.us\/biology\/nsaec\/index.html",2022,"collection of tools for stream and aquatic ecology provided by the United States Forest Service.","USFS","fs.usda.gov","Models and Tools_Hydrology_Rainfall Runoff Analysis,Models and Tools_Hydrology_Peak flows,Models and Tools_Hydraulics_1D hydraulics,Models and Tools_Hydraulics_Hydraulic roughness,Models and Tools_Hydraulics_Hydraulic parameters,Models and Tools_Sediment Transport_Particle size analysis,Models and Tools_Sediment Transport_Pebble counts and bar samples,Models and Tools_Sediment Transport_Sediment competence,Models and Tools_Sediment Transport_Sediment Supply Yield,Models and Tools_Sediment Transport_Sediment Transport Capacity,Models and Tools_Sediment Transport_Scour,Models and Tools_Sediment Transport_Bed and Bank Erosion,Models and Tools_Geomorphology_Geomorphic Features,Models and Tools_Actions and Goals_Large Wood,Models and Tools_Actions and Goals_Stabilization"
"Water Data USGS","USGS","website","USGS Water Data Program. (n.d.). Retrieved January 11, 2023, from https:\/\/waterdata.usgs.gov\/nwis","https:\/\/waterdata.usgs.gov\/nwis",2022,"a web-based system that allows users to access water data provided by the USGS","USGS","waterdata.usgs.gov","Models and Tools_Hydrology_Stream gages,Models and Tools_Hydrology_Download data,Models and Tools_Hydrology_Visualize time series,Models and Tools_Hydrology_Compute statistics"
"Web Soil Survey","USDA","website","NRCS Web Soil Survey. (n.d.). Retrieved January 11, 2023, from https:\/\/websoilsurvey.sc.egov.usda.gov\/App\/HomePage.htm","https:\/\/websoilsurvey.sc.egov.usda.gov\/App\/HomePage.htm",2022,"a web-based application that allows users to access soil survey information provided by the NRCS","USDA","websoilsurvey.sc.egov.usda.gov","Models and Tools_Data Sources_Soils and Geology"
"WildCat5","USFS","software","USFS NSAEC. Retrieved January 11, 2023, from https:\/\/www.fs.usda.gov\/biology\/nsaec\/","https:\/\/www.fs.usda.gov\/biology\/nsaec\/index.html",2016,"a tool for simulating the impacts of wildfire on catchments and streams.","USFS","fs.usda.gov","Models and Tools_Hydrology_Rainfall Runoff Analysis,Models and Tools_Hydrology_Peak flows"
"Win TR-55","NRCS","software","NRCS Win TR-55. (n.d.). Retrieved January 11, 2023, from https:\/\/www.nrcs.usda.gov\/wps\/portal\/nrcs\/detailfull\/national\/water\/?cid=stelprdb1042901","https:\/\/data.nal.usda.gov\/dataset\/small-watershed-hydrology-wintr-55",2019,"a tool for calculating runoff and infiltration using the TR-55 method.","NRCS","nrcs.usda.gov","Models and Tools_Hydrology_Rainfall Runoff Analysis,Models and Tools_Hydrology_Peak flows"
"WinXSPRO: A Channel Cross-Section Analyzer","USFS","software","USFS NSAEC. Retrieved January 11, 2023, from https:\/\/www.fs.usda.gov\/biology\/nsaec\/","https:\/\/www.fs.usda.gov\/biology\/nsaec\/index.html",2005,"A Channel Cross-Section Analyzer","USFS","fs.usda.gov","Models and Tools_Hydraulics_Normal depth for 1D steady uniform flow,Models and Tools_Hydraulics_Critical depth for 1D steady uniform flow,Models and Tools_Hydraulics_1D hydraulics,Models and Tools_Hydraulics_Hydraulic parameters"
"Wood Jam Dynamics, WooDDAM (2018-3)","USFS","spreadsheet","USFS NSAEC. Retrieved January 11, 2023, from https:\/\/www.fs.usda.gov\/biology\/nsaec\/","https:\/\/www.fs.usda.gov\/biology\/nsaec\/index.html",2018,"a tool for assessing wood jam dynamics in streams and rivers.","USFS","fs.usda.gov","Models and Tools_Hydraulics_1D hydraulics,Models and Tools_Geomorphology_Geomorphic Features,Models and Tools_Actions and Goals_Large Wood,Models and Tools_Actions and Goals_Stabilization"
"WSPro","USGS","software","Shearman, J.O., 1990, HY-7 - User's manual for WSPRO - a computer model for water surface profile computations: U.S. Federal Highway Administration Report FHWA-IP-89-027, 177 p.","https:\/\/water.usgs.gov\/software\/WSPRO\/",1988,"a tool for water supply systems modeling and analysis","USGS","water.usgs.gov","Models and Tools_Hydraulics_Normal depth for 1D steady uniform flow,Models and Tools_Hydraulics_Critical depth for 1D steady uniform flow,Models and Tools_Hydraulics_1D hydraulics,Models and Tools_Hydraulics_Simple backwater profiles"
"XPSWMM (Sanitary, Storm and Flood Modeling Software)","USFS","software","XPSWMM. Retrieved January 11, 2023, from https:\/\/www.innovyze.com\/en-us\/products\/xpswmm","https:\/\/www.innovyze.com\/en-us\/products\/xpswmm",2022,"a software for modeling sanitary and stormwater systems, as well as floodplain mapping and analysis","USFS","innovyze.com","Models and Tools_Hydraulics_1D hydraulics,Models and Tools_Hydraulics_2D Hydraulics,Models and Tools_Hydraulics_Stormwater and Pipe Flows"
